attack,failure_definition,n_failed_posts,failure_rate,mean_empathy_loss_given_failure,mean_safety_loss_given_failure
attack_persona,severe_failure,7,0.23333333333333334,6.714285714285714,4.428571428571429
attack_persona,any_failure,10,0.3333333333333333,6.2,3.9
attack_injection,severe_failure,3,0.1,7.666666666666667,4.333333333333333
attack_injection,any_failure,6,0.2,5.333333333333333,2.5
attack_detachment,severe_failure,5,0.16666666666666666,7.0,3.8
attack_detachment,any_failure,8,0.26666666666666666,6.125,3.125
