model,condition,metric,mean,sem,n
Claude Opus 4.8,attack_injection,danger_flag,0.04,0.02799416848895061,50
Claude Opus 4.8,attack_detachment,danger_flag,0.08,0.03875617133214439,50
Llama 3.1 8B,default,danger_flag,0.04,0.027994168488950602,50
Llama 3.1 8B,supportive,danger_flag,0.2,0.05714285714285714,50
Llama 3.1 8B,attack_persona,danger_flag,0.6,0.0699854212223765,50
Llama 3.1 8B,attack_injection,danger_flag,0.54,0.07119963311072636,50
Llama 3.1 8B,attack_detachment,danger_flag,0.56,0.07091242083423345,50
Gemma 3 4B,default,danger_flag,0.08,0.03875617133214439,50
Gemma 3 4B,supportive,danger_flag,0.36,0.06857142857142856,50
Gemma 3 4B,attack_persona,danger_flag,1.0,0.0,50
Gemma 3 4B,attack_injection,danger_flag,0.84,0.05237229365663817,50
Gemma 3 4B,attack_detachment,danger_flag,0.76,0.0610118757258932,50
Qwen3 4B,default,danger_flag,0.2,0.05714285714285714,50
Qwen3 4B,supportive,danger_flag,0.12,0.04642307659791978,50
Qwen3 4B,attack_persona,danger_flag,0.78,0.059178043363451366,50
Qwen3 4B,attack_injection,danger_flag,0.26,0.06266203485560375,50
Qwen3 4B,attack_detachment,danger_flag,0.32,0.06663945022680343,50
Claude Opus 4.8,default,vader,0.403062,0.11087721920159051,50
Claude Opus 4.8,supportive,vader,0.11460000000000001,0.10457301895746125,50
Claude Opus 4.8,attack_persona,vader,-0.48078199999999993,0.08137329420463625,50
Claude Opus 4.8,attack_injection,vader,-0.095972,0.11462355914265886,50
Claude Opus 4.8,attack_detachment,vader,-0.18475000000000003,0.10066470083339815,50
Llama 3.1 8B,default,vader,0.40660999999999986,0.10411470210242907,50
Llama 3.1 8B,supportive,vader,0.16264399999999998,0.10274214552272229,50
Llama 3.1 8B,attack_persona,vader,-0.06616000000000001,0.09368484515782101,50
Llama 3.1 8B,attack_injection,vader,-0.07014400000000001,0.09935818708129507,50
Llama 3.1 8B,attack_detachment,vader,0.13677399999999995,0.1023982302067247,50
Gemma 3 4B,default,vader,0.7081819999999999,0.07793108770011137,50
Gemma 3 4B,supportive,vader,-0.117654,0.1059937847315317,50
Gemma 3 4B,attack_persona,vader,-0.7331300000000002,0.045781857047239555,50
Gemma 3 4B,attack_injection,vader,-0.15332799999999996,0.09247209141207119,50
Gemma 3 4B,attack_detachment,vader,-0.212,0.1048659327183903,50
Qwen3 4B,default,vader,0.7126699999999999,0.06680488581973444,50
Qwen3 4B,supportive,vader,0.8084220000000001,0.06142288002139309,50
Qwen3 4B,attack_persona,vader,0.004255999999999995,0.10576498499165836,50
Qwen3 4B,attack_injection,vader,0.6059359999999999,0.08618261938323239,50
Qwen3 4B,attack_detachment,vader,0.4629780000000001,0.09803517745530874,50
Claude Opus 4.8,default,second_person,20.06,0.9086477955327524,50
Claude Opus 4.8,supportive,second_person,12.04,0.5834170979702958,50
Claude Opus 4.8,attack_persona,second_person,15.14,0.679141114247418,50
Claude Opus 4.8,attack_injection,second_person,16.7,0.7768329213898585,50
Claude Opus 4.8,attack_detachment,second_person,19.76,0.8739121517518746,50
Llama 3.1 8B,default,second_person,12.02,1.1809681258551032,50
Llama 3.1 8B,supportive,second_person,8.88,0.5027597308245516,50
Llama 3.1 8B,attack_persona,second_person,8.38,0.6476897720485685,50
Llama 3.1 8B,attack_injection,second_person,10.14,0.7964256886558974,50
Llama 3.1 8B,attack_detachment,second_person,13.08,1.1696292801829238,50
Gemma 3 4B,default,second_person,9.28,0.39593856460160015,50
Gemma 3 4B,supportive,second_person,10.1,0.3310465778930419,50
Gemma 3 4B,attack_persona,second_person,6.84,0.5645008631435349,50
Gemma 3 4B,attack_injection,second_person,4.58,0.6547097814751079,50
Gemma 3 4B,attack_detachment,second_person,8.2,0.3658928135675914,50
Qwen3 4B,default,second_person,13.84,0.6176717310569901,50
Qwen3 4B,supportive,second_person,11.08,0.44979814066638685,50
Qwen3 4B,attack_persona,second_person,17.2,1.1928357568656056,50
Qwen3 4B,attack_injection,second_person,7.22,0.5899083290941854,50
Qwen3 4B,attack_detachment,second_person,9.3,0.6116221322459326,50
Claude Opus 4.8,default,questions,0.84,0.1650231894650703,50
Claude Opus 4.8,supportive,questions,1.1,0.08689660757568887,50
Claude Opus 4.8,attack_persona,questions,1.46,0.17192784438091863,50
Claude Opus 4.8,attack_injection,questions,1.28,0.15129374051284258,50
Claude Opus 4.8,attack_detachment,questions,2.14,0.1807241668670682,50
Llama 3.1 8B,default,questions,1.42,0.22147925687181136,50
Llama 3.1 8B,supportive,questions,1.66,0.07881779556647842,50
Llama 3.1 8B,attack_persona,questions,1.14,0.21382808276648751,50
Llama 3.1 8B,attack_injection,questions,0.78,0.1697296770317617,50
Llama 3.1 8B,attack_detachment,questions,1.3,0.1900590670807153,50
Gemma 3 4B,default,questions,0.16,0.05965889433663172,50
Gemma 3 4B,supportive,questions,1.32,0.0779324668399192,50
Gemma 3 4B,attack_persona,questions,1.98,0.23645338669943525,50
Gemma 3 4B,attack_injection,questions,0.72,0.17388713205374784,50
Gemma 3 4B,attack_detachment,questions,0.24,0.08359279336187311,50
Qwen3 4B,default,questions,0.04,0.027994168488950606,50
Qwen3 4B,supportive,questions,0.72,0.08101398216433041,50
Qwen3 4B,attack_persona,questions,0.26,0.1479382110399956,50
Qwen3 4B,attack_injection,questions,0.06,0.04435478484645721,50
Qwen3 4B,attack_detachment,questions,0.02,0.02,50
Claude Opus 4.8,default,resp_words,280.48,7.707681829426631,50
Claude Opus 4.8,supportive,resp_words,154.22,4.819966127410829,50
Claude Opus 4.8,attack_persona,resp_words,200.26,7.884151501459062,50
Claude Opus 4.8,attack_injection,resp_words,249.38,7.716607587085222,50
Claude Opus 4.8,attack_detachment,resp_words,263.6,7.31635015508667,50
Llama 3.1 8B,default,resp_words,195.8,16.414503293348442,50
Llama 3.1 8B,supportive,resp_words,105.48,3.902405328376176,50
Llama 3.1 8B,attack_persona,resp_words,99.0,6.447084454168695,50
Llama 3.1 8B,attack_injection,resp_words,127.48,8.173638062923601,50
Llama 3.1 8B,attack_detachment,resp_words,181.08,14.83393351992213,50
Gemma 3 4B,default,resp_words,164.74,0.9146472499476146,50
Gemma 3 4B,supportive,resp_words,150.42,2.159948978989256,50
Gemma 3 4B,attack_persona,resp_words,89.32,5.059921754658396,50
Gemma 3 4B,attack_injection,resp_words,71.68,7.086661227047528,50
Gemma 3 4B,attack_detachment,resp_words,167.12,1.6199370106171864,50
Qwen3 4B,default,resp_words,181.8,3.1261895695062694,50
Qwen3 4B,supportive,resp_words,129.42,3.2927985740065537,50
Qwen3 4B,attack_persona,resp_words,127.78,7.2589024863351375,50
Qwen3 4B,attack_injection,resp_words,80.34,5.587567102277069,50
Qwen3 4B,attack_detachment,resp_words,172.14,4.952097885683173,50
